scenario;Category;Baseline;model;region;period;Scope;value;unit;variable
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2015;Global;1308;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2020;Global;1388;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2025;Global;1462;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2030;Global;1529;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2035;Global;1590;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2040;Global;1646;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2045;Global;1695;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2050;Global;1734;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2060;Global;1779;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2070;Global;1781;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2080;Global;1748;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2090;Global;1684;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;IND;2100;Global;1603;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2010;Global;127;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2015;Global;126;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2020;Global;125;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2025;Global;123;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2030;Global;120;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2035;Global;118;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2040;Global;115;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2045;Global;112;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2050;Global;109;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2060;Global;102;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2070;Global;96;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2080;Global;89;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2090;Global;82;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;JPN;2100;Global;75;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2010;Global;143;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2015;Global;143;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2020;Global;142;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2025;Global;141;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2030;Global;140;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2035;Global;138;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2040;Global;138;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2045;Global;137;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2050;Global;137;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2060;Global;135;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2070;Global;133;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2080;Global;131;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2090;Global;127;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;RUS;2100;Global;123;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2010;Global;314;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2015;Global;327;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2020;Global;340;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2025;Global;352;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2030;Global;365;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2035;Global;376;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2040;Global;387;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2045;Global;396;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2050;Global;405;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2060;Global;424;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2070;Global;440;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2080;Global;452;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2090;Global;458;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;USA;2100;Global;460;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2010;Global;6871;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2015;Global;7248;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2020;Global;7614;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2025;Global;7955;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2030;Global;8264;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2035;Global;8542;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2040;Global;8787;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2045;Global;8996;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2050;Global;9166;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2060;Global;9376;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2070;Global;9441;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2080;Global;9384;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2090;Global;9225;million;Population
NoPolicy_V4;NoPOL;;COPPE-COFFEE 1.0;World;2100;Global;8999;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2010;Global;195;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2015;Global;203;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2020;Global;211;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2025;Global;217;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2030;Global;223;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2035;Global;227;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2040;Global;230;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2045;Global;232;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2050;Global;232;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2060;Global;229;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2070;Global;222;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2080;Global;212;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2090;Global;200;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2100;Global;188;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2010;Global;1349;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2015;Global;1371;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2020;Global;1387;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2025;Global;1394;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2030;Global;1390;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2035;Global;1375;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2040;Global;1349;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2045;Global;1315;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2050;Global;1273;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2060;Global;1174;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2070;Global;1068;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2080;Global;962;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2090;Global;862;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2100;Global;777;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2010;Global;1225;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2015;Global;1308;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2020;Global;1388;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2025;Global;1462;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2030;Global;1529;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2035;Global;1590;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2040;Global;1646;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2045;Global;1695;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2050;Global;1734;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2060;Global;1779;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2070;Global;1781;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2080;Global;1748;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2090;Global;1684;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2100;Global;1603;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2010;Global;127;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2015;Global;126;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2020;Global;125;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2025;Global;123;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2030;Global;120;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2035;Global;118;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2040;Global;115;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2045;Global;112;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2050;Global;109;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2060;Global;102;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2070;Global;96;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2080;Global;89;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2090;Global;82;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2100;Global;75;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2010;Global;143;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2015;Global;143;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2020;Global;142;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2025;Global;141;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2030;Global;140;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2035;Global;138;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2040;Global;138;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2045;Global;137;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2050;Global;137;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2060;Global;135;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2070;Global;133;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2080;Global;131;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2090;Global;127;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2100;Global;123;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2010;Global;314;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2015;Global;327;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2020;Global;340;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2025;Global;352;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2030;Global;365;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2035;Global;376;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2040;Global;387;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2045;Global;396;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2050;Global;405;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2060;Global;424;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2070;Global;440;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2080;Global;452;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2090;Global;458;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2100;Global;460;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2010;Global;6871;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2015;Global;7248;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2020;Global;7614;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2025;Global;7955;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2030;Global;8264;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2035;Global;8542;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2040;Global;8787;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2045;Global;8996;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2050;Global;9166;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2060;Global;9376;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2070;Global;9441;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2080;Global;9384;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2090;Global;9225;million;Population
NPi_V4;NPi;NoPolicy_V4;COPPE-COFFEE 1.0;World;2100;Global;8999;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2010;Global;195;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2015;Global;203;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2020;Global;211;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2025;Global;217;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2030;Global;223;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2035;Global;227;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2040;Global;230;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2045;Global;232;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2050;Global;232;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2060;Global;229;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2070;Global;222;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2080;Global;212;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2090;Global;200;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;BRA;2100;Global;188;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2010;Global;1349;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2015;Global;1371;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2020;Global;1387;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2025;Global;1394;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2030;Global;1390;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2035;Global;1375;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2040;Global;1349;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2045;Global;1315;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2050;Global;1273;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2060;Global;1174;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2070;Global;1068;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2080;Global;962;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2090;Global;862;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;CHN;2100;Global;777;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2010;Global;1225;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2015;Global;1308;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2020;Global;1388;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2025;Global;1462;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2030;Global;1529;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2035;Global;1590;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2040;Global;1646;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2045;Global;1695;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2050;Global;1734;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2060;Global;1779;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2070;Global;1781;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2080;Global;1748;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2090;Global;1684;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;IND;2100;Global;1603;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2010;Global;127;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2015;Global;126;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2020;Global;125;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2025;Global;123;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2030;Global;120;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2035;Global;118;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2040;Global;115;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2045;Global;112;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2050;Global;109;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2060;Global;102;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2070;Global;96;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2080;Global;89;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2090;Global;82;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;JPN;2100;Global;75;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2010;Global;143;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2015;Global;143;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2020;Global;142;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2025;Global;141;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2030;Global;140;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2035;Global;138;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2040;Global;138;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2045;Global;137;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2050;Global;137;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2060;Global;135;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2070;Global;133;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2080;Global;131;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2090;Global;127;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;RUS;2100;Global;123;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2010;Global;314;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2015;Global;327;million;Population
INDCi_V4;INDC;NoPolicy_V4;COPPE-COFFEE 1.0;USA;2020;Global;340;million;Population
